species,region,cell_type,hemilineage,known_nt,known_nt_source,known_nt_evidence,known_nt_confidence
adult_drosophila_melanogaster,midbrain,ExR7,DM4__prim,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,ExR7,DM3__prim,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FB5J,FB5K,FB5L,FB5M,FB5N,FB5W",LALv1_dorsal,glutamate,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM1_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM4_CX_d3,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM2_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM4_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM3_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM4_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM3_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,"FC1A,FC1B,FC1F",DM2_CX_d1,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM2_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM4_CX_d3,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM1_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM4_CX_d2,acetylcholine,Janelia,EASI-FISH,4
adult_drosophila_melanogaster,midbrain,FC1C,DM4_CX_d1,acetylcholine,Janelia,EASI-FISH,4
